Number of Vehicles,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
3,1,1,1,1,1,1,74,2
3,1,1,1,2,2,1,63,2
3,1,1,1,2,1,2,69,2
3,1,1,1,1,1,1,72,1
3,1,1,1,2,1,2,70,1
4,1,1,1,1,1,2,49,4
3,1,1,1,1,1,2,25,1
1,1,1,1,3,1,2,20,1
1,1,1,1,2,1,1,55,2
2,1,1,1,1,1,1,32,3
3,1,1,1,1,2,2,18,1
3,1,1,1,1,1,2,52,1
1,1,1,1,1,1,1,76,3
2,1,1,1,1,1,1,31,3
2,1,1,1,1,2,1,28,3
1,1,2,1,1,1,1,43,3
2,1,1,1,2,1,2,26,1
1,1,1,1,1,1,2,48,3
1,1,1,1,1,2,1,41,1
2,1,1,1,1,1,1,58,3
1,1,2,1,3,1,1,35,4
2,1,2,1,2,1,2,18,1
2,1,2,1,2,1,1,33,1
2,1,1,1,1,1,1,38,3
2,1,1,1,1,1,2,23,1
1,2,1,3,1,1,2,23,1
2,1,1,1,1,1,1,37,1
2,1,1,1,1,1,1,38,1
2,1,1,1,1,1,2,82,1
2,1,1,1,1,1,2,23,1
2,1,1,1,1,2,1,58,3
4,1,1,1,1,1,1,26,4
4,1,1,1,1,1,1,44,5
4,1,1,1,1,1,2,44,5
4,1,1,1,1,1,2,47,5
3,1,1,1,1,1,2,57,1
3,1,1,1,1,1,1,78,4
2,1,1,1,2,1,1,9,1
2,1,1,1,1,1,2,25,1
2,1,1,1,1,1,1,33,1
2,1,1,1,1,1,2,42,1
2,1,1,1,1,1,1,25,3
1,1,1,1,1,1,2,37,1
2,1,1,1,2,1,2,20,1
3,1,1,1,1,1,1,27,1
3,1,1,1,2,1,1,30,1
2,1,1,1,1,1,2,51,3
2,1,1,1,1,1,2,47,1
2,1,1,1,2,1,1,2,2
2,1,1,1,2,1,2,19,2
1,1,1,1,1,1,1,32,1
1,1,1,1,2,1,2,87,1
2,1,1,1,2,1,2,17,1
2,1,1,1,1,1,2,67,1
2,1,1,1,1,1,2,25,1
2,1,1,1,2,1,2,5,1
3,1,1,1,1,1,2,33,1
2,1,1,1,1,2,1,37,1
2,1,1,1,1,2,1,24,1
2,1,1,1,2,2,2,16,1
2,1,1,1,1,1,1,61,3
1,1,1,1,3,1,2,31,1
2,1,1,1,1,1,2,34,1
2,1,1,1,1,1,2,33,1
2,1,1,1,1,1,2,12,3
1,1,1,1,3,1,1,3,1
1,1,2,1,1,1,1,32,1
1,1,1,1,3,1,1,3,1
1,1,1,1,3,2,1,7,1
2,1,1,1,2,1,2,12,1
2,1,1,1,1,1,1,38,3
1,1,1,1,2,1,1,35,2
1,1,1,1,2,1,2,80,2
1,1,1,1,2,1,2,25,2
2,1,1,1,1,1,1,63,1
2,1,1,1,1,1,1,55,3
2,1,1,1,1,1,1,30,1
2,1,1,1,1,1,1,42,3
2,1,1,1,1,1,2,51,1
1,1,1,1,3,2,1,11,1
1,1,1,1,3,2,2,53,1
2,1,1,1,2,1,2,51,2
3,1,1,1,1,1,2,23,1
3,1,1,1,1,1,2,27,1
3,1,1,1,1,1,2,37,1
2,1,1,1,1,1,1,18,3
2,1,1,1,1,1,2,19,1
2,1,1,1,2,1,2,18,1
3,1,1,1,1,1,2,31,1
3,1,1,1,2,1,2,9,1
2,1,1,1,1,2,1,59,3
1,1,1,1,2,1,2,44,2
1,1,1,1,1,2,1,20,3
2,1,1,1,1,1,1,49,4
2,1,1,1,2,1,2,53,2
2,1,1,1,2,1,2,57,2
3,1,1,1,1,1,2,83,1
2,1,1,1,1,2,1,16,3
3,1,1,1,1,1,1,54,1
3,1,1,1,2,1,1,42,1
1,1,1,1,3,1,1,55,4
1,1,1,1,3,1,1,4,1
2,1,1,1,1,2,1,84,1
2,1,1,1,1,2,1,40,1
1,1,1,4,1,1,1,37,2
1,1,1,4,2,1,2,31,2
2,1,1,1,1,2,1,42,3
2,1,1,1,1,1,1,17,3
2,1,1,1,1,1,2,28,3
2,1,1,1,1,1,2,39,1
1,1,1,1,3,1,2,32,1
1,1,1,1,3,1,2,55,1
1,1,1,1,3,1,1,64,1
2,1,1,1,1,1,1,24,3
1,1,1,1,3,1,1,23,1
2,1,2,1,1,1,2,59,1
2,1,2,1,1,1,1,30,1
2,1,1,1,2,1,2,10,1
